12:33:29 | DEBUG    | root                             | __init__                  | Socket successfully created and listening on port 8004
12:33:29 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
12:33:29 | INFO     | root                             | load_data                 | Loaded 1 brain files
12:33:29 | INFO     | root                             | create_new_session        | Created session for '40862'
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | INFO     | root                             | printlog                  | USER: hello
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
12:33:29 | DEBUG    | root                             | score_patterns            | Choosing best match from: [u'hello']
12:33:29 | DEBUG    | root                             | score_patterns            | Chose 'hello' with 100.0% confidence.
12:33:29 | DEBUG    | root                             | score_matches             | Choosing best match from: ['(170.0, u'hello', 'tests.default.test_node')','None','None']
12:33:29 | DEBUG    | root                             | process_node              | Processing response node: tests.default.test_node
12:33:29 | DEBUG    | root                             | response_node             | Getting random response from: [u'world']
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | INFO     | root                             | printlog                  | EMILY: world
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
12:33:29 | DEBUG    | root                             | run                       | Session Variables:
12:33:29 | DEBUG    | root                             | run                       |  * conversation: default
12:33:29 | DEBUG    | root                             | run                       |  * user_input: hello
12:33:29 | DEBUG    | root                             | run                       |  * next_node: None
12:33:29 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None}
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | INFO     | root                             | printlog                  | USER: quit
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
12:33:29 | DEBUG    | root                             | score_patterns            | No matches found above threshold: 90
12:33:29 | DEBUG    | root                             | score_matches             | Choosing best match from: ['None','None','None']
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | INFO     | root                             | printlog                  | EMILY: I'm sorry, I don't know what you are asking.
12:33:29 | INFO     | root                             | printlog                  | 
12:33:29 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
12:33:29 | DEBUG    | root                             | run                       | Session Variables:
12:33:29 | DEBUG    | root                             | run                       |  * conversation: default
12:33:29 | DEBUG    | root                             | run                       |  * user_input: quit
12:33:29 | DEBUG    | root                             | run                       |  * next_node: None
12:33:29 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None}
12:33:29 | INFO     | root                             | run                       | Removed session: 40862
12:33:30 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
12:33:30 | INFO     | root                             | load_data                 | Loaded 1 brain files
12:33:30 | INFO     | root                             | create_new_session        | Created session for '49624'
12:33:30 | INFO     | root                             | printlog                  | 
12:33:30 | INFO     | root                             | printlog                  | USER: hello
12:33:30 | INFO     | root                             | printlog                  | 
