11:49:41 | DEBUG    | root                             | __init__                  | Socket successfully created and listening on port 8004
11:49:41 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
11:49:41 | INFO     | root                             | load_data                 | Loaded 1 brain files
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: hello
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | Choosing best match from: [u'hello']
11:49:41 | DEBUG    | root                             | score_patterns            | Chose 'hello' with 100.0% confidence.
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['(170.0, u'hello', 'tests.default.test_node')','None','None']
11:49:41 | DEBUG    | root                             | process_node              | Processing response node: tests.default.test_node
11:49:41 | DEBUG    | root                             | response_node             | Getting random response from: [u'world']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: world
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
11:49:41 | DEBUG    | root                             | run                       | Session Variables:
11:49:41 | DEBUG    | root                             | run                       |  * conversation: default
11:49:41 | DEBUG    | root                             | run                       |  * user_input: hello
11:49:41 | DEBUG    | root                             | run                       |  * next_node: None
11:49:41 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None}
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: quit
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | No matches found above threshold: 90
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['None','None','None']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: I'm sorry, I don't know what you are asking.
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
11:49:41 | DEBUG    | root                             | run                       | Session Variables:
11:49:41 | DEBUG    | root                             | run                       |  * conversation: default
11:49:41 | DEBUG    | root                             | run                       |  * user_input: quit
11:49:41 | DEBUG    | root                             | run                       |  * next_node: None
11:49:41 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None}
11:49:41 | INFO     | root                             | run                       | Removed session: 16771
11:49:41 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
11:49:41 | INFO     | root                             | load_data                 | Loaded 1 brain files
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: hello
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | Choosing best match from: [u'hello']
11:49:41 | DEBUG    | root                             | score_patterns            | Chose 'hello' with 100.0% confidence.
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['(170.0, u'hello', 'tests.default.test_node')','None','None']
11:49:41 | DEBUG    | root                             | process_node              | Processing response node: tests.default.test_node
11:49:41 | DEBUG    | root                             | response_node             | Getting random response from: [u'world']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: world
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | stateless                 | Emily Response Time: 0.001 seconds
11:49:41 | DEBUG    | root                             | stateless                 | Session Variables:
11:49:41 | DEBUG    | root                             | stateless                 |  * conversation: default
11:49:41 | DEBUG    | root                             | stateless                 |  * next_node: None
11:49:41 | DEBUG    | root                             | stateless                 |  * default_session_vars: {'conversation': 'default', 'next_node': None, 'default_session_vars': {'conversation': 'default', 'next_node': None}}
11:49:41 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
11:49:41 | INFO     | root                             | load_data                 | Loaded 1 brain files
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: quit
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | No matches found above threshold: 90
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['None','None','None']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: I'm sorry, I don't know what you are asking.
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | stateless                 | Emily Response Time: 0.000 seconds
11:49:41 | DEBUG    | root                             | stateless                 | Session Variables:
11:49:41 | DEBUG    | root                             | stateless                 |  * conversation: default
11:49:41 | DEBUG    | root                             | stateless                 |  * next_node: None
11:49:41 | DEBUG    | root                             | stateless                 |  * default_session_vars: {u'conversation': u'default', u'next_node': None, u'default_session_vars': {u'conversation': u'default', u'next_node': None}}
11:49:41 | INFO     | root                             | stateless                 | Removed session: 17238
11:49:41 | DEBUG    | root                             | __init__                  | Socket successfully created and listening on port 8008
11:49:41 | INFO     | root                             | load_data                 | Loading brain files: ['/Users/nathan.mcfarland/Documents/git_projects/emily/tests/data/tests.json']
11:49:41 | INFO     | root                             | load_data                 | Loaded 1 brain files
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: hello
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | Choosing best match from: [u'hello']
11:49:41 | DEBUG    | root                             | score_patterns            | Chose 'hello' with 100.0% confidence.
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['(170.0, u'hello', 'tests.default.test_node')','None','None']
11:49:41 | DEBUG    | root                             | process_node              | Processing response node: tests.default.test_node
11:49:41 | DEBUG    | root                             | response_node             | Getting random response from: [u'world']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: world
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
11:49:41 | DEBUG    | root                             | run                       | Session Variables:
11:49:41 | DEBUG    | root                             | run                       |  * conversation: default
11:49:41 | DEBUG    | root                             | run                       |  * user_input: hello
11:49:41 | DEBUG    | root                             | run                       |  * next_node: None
11:49:41 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None, u'default_session_vars': {u'conversation': u'default', u'next_node': None}}
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | USER: quit
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | match_input               | Next node not defined. Checking user input against patterns.
11:49:41 | DEBUG    | root                             | score_patterns            | No matches found above threshold: 90
11:49:41 | DEBUG    | root                             | score_matches             | Choosing best match from: ['None','None','None']
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | INFO     | root                             | printlog                  | EMILY: I'm sorry, I don't know what you are asking.
11:49:41 | INFO     | root                             | printlog                  | 
11:49:41 | DEBUG    | root                             | run                       | Emily Response Time: 0.001 seconds
11:49:41 | DEBUG    | root                             | run                       | Session Variables:
11:49:41 | DEBUG    | root                             | run                       |  * conversation: default
11:49:41 | DEBUG    | root                             | run                       |  * user_input: quit
11:49:41 | DEBUG    | root                             | run                       |  * next_node: None
11:49:41 | DEBUG    | root                             | run                       |  * default_session_vars: {u'conversation': u'default', u'next_node': None, u'default_session_vars': {u'conversation': u'default', u'next_node': None}}
11:49:41 | INFO     | root                             | run                       | Removed session: 59503
11:49:41 | DEBUG    | root                             | run                       | Starting command run
11:49:41 | DEBUG    | root                             | run                       | Ran Command: datetime.strptime('03/17/2017','%m/%d/%Y').strftime('%Y%m%d')
11:49:41 | DEBUG    | root                             | run                       | Command Execution Time: 0.002 seconds
11:49:41 | DEBUG    | root                             | re_re_run                 | Ran Command: json.dumps({'foo':'bar'})
11:49:41 | DEBUG    | root                             | check_stars               | Set 'star1' to 'world'
11:49:41 | INFO     | root                             | set_vars                  | Set 'hello' to 'world'
11:49:41 | INFO     | root                             | reset_vars                | Removed session variable 'foo' with value 'bar'
11:49:41 | INFO     | root                             | reset_vars                | Reset 'conversation' to 'default'
